Temperature,Year,Month,Country,,
12.890787,1988,5,CHN,,
17.743402,1988,6,CHN,,
19.909481,1988,7,CHN,,
18.617083,1988,8,CHN,,
14.435117,1988,9,CHN,,
7.9051566,1988,10,CHN,,
0.47565985,1988,11,CHN,,
-4.770528,1988,12,CHN,,
-7.8532743,1989,1,CHN,,
-5.102615,1989,2,CHN,,
1.025391,1989,3,CHN,,
7.791715,1989,4,CHN,,
13.310411,1989,5,CHN,,
16.838905,1989,6,CHN,,
19.139637,1989,7,CHN,,
18.403666,1989,8,CHN,,
14.127296,1989,9,CHN,,
8.192864,1989,10,CHN,,
-0.46282992,1989,11,CHN,,
-4.900391,1989,12,CHN,,
-7.9241934,1990,1,CHN,,
-4.7365594,1990,2,CHN,,
1.9663246,1990,3,CHN,,
7.066349,1990,4,CHN,,
13.155475,1990,5,CHN,,
17.547434,1990,6,CHN,,
19.480474,1990,7,CHN,,
18.75589,1990,8,CHN,,
14.463417,1990,9,CHN,,
8.3108015,1990,10,CHN,,
1.3931329,1990,11,CHN,,
-5.1015153,1990,12,CHN,,
-7.8998046,1991,1,CHN,,
-4.6179376,1991,2,CHN,,
0.4834555,1991,3,CHN,,
7.4923997,1991,4,CHN,,
13.040591,1991,5,CHN,,
17.507381,1991,6,CHN,,
19.765615,1991,7,CHN,,
18.718403,1991,8,CHN,,
14.240054,1991,9,CHN,,
7.571945,1991,10,CHN,,
-0.35982403,1991,11,CHN,,
-6.284555,1991,12,CHN,,
-7.4060364,1992,1,CHN,,
-5.16261,1992,2,CHN,,
0.63198924,1992,3,CHN,,
8.660483,1992,4,CHN,,
13.052591,1992,5,CHN,,
16.660215,1992,6,CHN,,
19.03326,1992,7,CHN,,
18.139957,1992,8,CHN,,
13.630524,1992,9,CHN,,
6.708113,1992,10,CHN,,
-0.98098725,1992,11,CHN,,
-5.6290565,1992,12,CHN,,
-8.694502,1993,1,CHN,,
-3.1551564,1993,2,CHN,,
1.5353129,1993,3,CHN,,
7.7130747,1993,4,CHN,,
12.493817,1993,5,CHN,,
16.926563,1993,6,CHN,,
18.940079,1993,7,CHN,,
17.721603,1993,8,CHN,,
14.146701,1993,9,CHN,,
7.1724343,1993,10,CHN,,
-0.69687194,1993,11,CHN,,
-6.292693,1993,12,CHN,,
-7.4398336,1994,1,CHN,,
-4.8558407,1994,2,CHN,,
-0.014760507,1994,3,CHN,,
8.577738,1994,4,CHN,,
13.879008,1994,5,CHN,,
17.8163,1994,6,CHN,,
20.176296,1994,7,CHN,,
19.28739,1994,8,CHN,,
14.098778,1994,9,CHN,,
7.039468,1994,10,CHN,,
1.7191105,1994,11,CHN,,
-5.465005,1994,12,CHN,,
-7.919843,1995,1,CHN,,
-4.400342,1995,2,CHN,,
1.1116569,1995,3,CHN,,
7.267424,1995,4,CHN,,
13.441984,1995,5,CHN,,
17.875929,1995,6,CHN,,
19.42522,1995,7,CHN,,
18.545357,1995,8,CHN,,
14.374781,1995,9,CHN,,
8.29653,1995,10,CHN,,
0.6998778,1995,11,CHN,,
-5.831647,1995,12,CHN,,
-8.292399,1996,1,CHN,,
-5.3339443,1996,2,CHN,,
0.46886605,1996,3,CHN,,
7.0081863,1996,4,CHN,,
13.308235,1996,5,CHN,,
17.177982,1996,6,CHN,,
19.363491,1996,7,CHN,,
18.333406,1996,8,CHN,,
14.385997,1996,9,CHN,,
7.62241,1996,10,CHN,,
-0.62426686,1996,11,CHN,,
-5.464736,1996,12,CHN,,
-7.325122,1997,1,CHN,,
-4.7072825,1997,2,CHN,,
2.4954302,1997,3,CHN,,
8.697849,1997,4,CHN,,
14.035019,1997,5,CHN,,
17.508064,1997,6,CHN,,
20.178911,1997,7,CHN,,
19.258015,1997,8,CHN,,
13.567058,1997,9,CHN,,
7.6079664,1997,10,CHN,,
-0.336217,1997,11,CHN,,
-5.7518816,1997,12,CHN,,
-8.469942,1998,1,CHN,,
-2.723216,1998,2,CHN,,
1.2213099,1998,3,CHN,,
9.843427,1998,4,CHN,,
13.583284,1998,5,CHN,,
17.780205,1998,6,CHN,,
19.961681,1998,7,CHN,,
18.83722,1998,8,CHN,,
15.42693,1998,9,CHN,,
9.125122,1998,10,CHN,,
1.1005377,1998,11,CHN,,
-4.3428154,1998,12,CHN,,
-6.5688415,1999,1,CHN,,
-2.4946482,1999,2,CHN,,
0.5180596,1999,3,CHN,,
8.816422,1999,4,CHN,,
13.546457,1999,5,CHN,,
17.836704,1999,6,CHN,,
20.031744,1999,7,CHN,,
18.805157,1999,8,CHN,,
15.076002,1999,9,CHN,,
8.179936,1999,10,CHN,,
0.5170332,1999,11,CHN,,
-5.2021017,1999,12,CHN,,
-8.483015,2000,1,CHN,,
-5.838465,2000,2,CHN,,
1.5108504,2000,3,CHN,,
8.5058155,2000,4,CHN,,
14.59003,2000,5,CHN,,
17.692888,2000,6,CHN,,
20.595064,2000,7,CHN,,
19.273485,2000,8,CHN,,
14.7589445,2000,9,CHN,,
7.1142225,2000,10,CHN,,
-1.2268817,2000,11,CHN,,
-5.474218,2000,12,CHN,,
-8.010093,2001,1,CHN,,
-4.517082,2001,2,CHN,,
1.9422287,2001,3,CHN,,
8.201515,2001,4,CHN,,
14.163979,2001,5,CHN,,
18.24455,2001,6,CHN,,
20.442522,2001,7,CHN,,
19.18282,2001,8,CHN,,
14.755719,2001,9,CHN,,
8.656085,2001,10,CHN,,
1.2161046,2001,11,CHN,,
-6.9406404,2001,12,CHN,,
-5.757405,2002,1,CHN,,
-2.213563,2002,2,CHN,,
3.2890763,2002,3,CHN,,
8.563881,2002,4,CHN,,
13.463074,2002,5,CHN,,
18.248655,2002,6,CHN,,
20.038418,2002,7,CHN,,
19.113073,2002,8,CHN,,
14.184262,2002,9,CHN,,
7.578421,2002,10,CHN,,
0.05012219,2002,11,CHN,,
-6.803959,2002,12,CHN,,
-7.5652,2003,1,CHN,,
-3.62935,2003,2,CHN,,
1.2043011,2003,3,CHN,,
8.329618,2003,4,CHN,,
13.216324,2003,5,CHN,,
17.697042,2003,6,CHN,,
19.483774,2003,7,CHN,,
18.676222,2003,8,CHN,,
14.816226,2003,9,CHN,,
8.027297,2003,10,CHN,,
0.097165205,2003,11,CHN,,
-5.6740713,2003,12,CHN,,
-6.356256,2004,1,CHN,,
-3.2544968,2004,2,CHN,,
2.2423265,2004,3,CHN,,
9.596725,2004,4,CHN,,
13.517863,2004,5,CHN,,
17.9011,2004,6,CHN,,
19.795284,2004,7,CHN,,
18.700317,2004,8,CHN,,
14.731012,2004,9,CHN,,
7.691569,2004,10,CHN,,
1.0119257,2004,11,CHN,,
-5.344428,2004,12,CHN,,
-7.772752,2005,1,CHN,,
-6.7236557,2005,2,CHN,,
1.3781769,2005,3,CHN,,
9.047312,2005,4,CHN,,
13.384359,2005,5,CHN,,
18.54064,2005,6,CHN,,
20.27104,2005,7,CHN,,
18.646114,2005,8,CHN,,
15.465884,2005,9,CHN,,
8.165982,2005,10,CHN,,
1.0614859,2005,11,CHN,,
-7.343108,2005,12,CHN,,
-7.7613397,2006,1,CHN,,
-4.040689,2006,2,CHN,,
1.5017351,2006,3,CHN,,
8.102248,2006,4,CHN,,
13.718768,2006,5,CHN,,
17.799145,2006,6,CHN,,
20.23734,2006,7,CHN,,
19.752052,2006,8,CHN,,
14.542936,2006,9,CHN,,
9.259628,2006,10,CHN,,
1.2463588,2006,11,CHN,,
-5.5569406,2006,12,CHN,,
-6.777663,2007,1,CHN,,
-1.883651,2007,2,CHN,,
1.8206257,2007,3,CHN,,
8.699413,2007,4,CHN,,
14.632307,2007,5,CHN,,
18.22114,2007,6,CHN,,
19.896774,2007,7,CHN,,
19.48084,2007,8,CHN,,
14.83695,2007,9,CHN,,
7.8420334,2007,10,CHN,,
0.67580646,2007,11,CHN,,
-4.7290564,2007,12,CHN,,
-9.152175,2008,1,CHN,,
-6.646407,2008,2,CHN,,
3.6576247,2008,3,CHN,,
8.864931,2008,4,CHN,,
14.100611,2008,5,CHN,,
17.980474,2008,6,CHN,,
20.051296,2008,7,CHN,,
18.659678,2008,8,CHN,,
14.699095,2008,9,CHN,,
8.544722,2008,10,CHN,,
0.5915689,2008,11,CHN,,
-5.198167,2008,12,CHN,,
-7.3386602,2009,1,CHN,,
-2.9532013,2009,2,CHN,,
1.8038368,2009,3,CHN,,
9.544697,2009,4,CHN,,
13.809506,2009,5,CHN,,
17.728664,2009,6,CHN,,
19.832405,2009,7,CHN,,
18.820625,2009,8,CHN,,
14.768085,2009,9,CHN,,
8.836511,2009,10,CHN,,
-1.5574781,2009,11,CHN,,
-6.2959924,2009,12,CHN,,
-7.490443,2010,1,CHN,,
-5.071909,2010,2,CHN,,
0.5350412,2010,3,CHN,,
6.645377,2010,4,CHN,,
13.612253,2010,5,CHN,,
18.120382,2010,6,CHN,,
20.611696,2010,7,CHN,,
19.262999,2010,8,CHN,,
14.68679,2010,9,CHN,,
7.9018044,2010,10,CHN,,
1.1024727,2010,11,CHN,,
-6.1844287,2010,12,CHN,,
-10.714391,2011,1,CHN,,
-3.912007,2011,2,CHN,,
-0.2270439,2011,3,CHN,,
8.9184675,2011,4,CHN,,
13.543417,2011,5,CHN,,
18.18425,2011,6,CHN,,
20.076252,2011,7,CHN,,
19.425573,2011,8,CHN,,
14.242503,2011,9,CHN,,
8.463199,2011,10,CHN,,
1.1974828,2011,11,CHN,,
-6.5211854,2011,12,CHN,,
-9.743238,2012,1,CHN,,
-6.3149033,2012,2,CHN,,
0.66480285,2012,3,CHN,,
9.148652,2012,4,CHN,,
14.430697,2012,5,CHN,,
17.963757,2012,6,CHN,,
20.07964,2012,7,CHN,,
19.050388,2012,8,CHN,,
14.290689,2012,9,CHN,,
7.4451547,2012,10,CHN,,
-0.6052573,2012,11,CHN,,
-7.4197817,2012,12,CHN,,
16.069447,1901,1,IND,,
17.94627,1901,2,IND,,
23.021893,1901,3,IND,,
26.93424,1901,4,IND,,
29.083801,1901,5,IND,,
